COUNTRY,onpremisenum,variesby,NOTES
Marshall Islands,21,none,
Mongolia,21,none,
Nauru,21,none,
Oman,21,none,
Palau,21,none,
Solomon Islands,21,none,
Sri Lanka,21,none,
Tonga,21,none,
Afghanistan,1000000,none,
Bahrain,1000000,none,
Brunei,1000000,none,"Non-Muslims over 17 years of age are allowed to import alcohol not to exceed maximum total volume 2 liters of liquor and 12 cans of beer at 330 ml for personal use, once in 48 hours. This alcohol must be “stored and consumed at the place of residence of the importer” and is “not to be given, transferred or sold to another person.”"
Iran,1000000,none,
Iraq,1000000,none,
Kuwait,1000000,none,
Libya,1000000,none,
Maldives,1000000,none,prohibition applies to citizens
Mauritania,1000000,none,
Pakistan,1000000,none,non-Muslim citizens may possess alcohol to be used in accordance with religious ceremonies
Qatar,1000000,none,
Saudi Arabia,1000000,none,
Sudan,1000000,none,
Yemen,1000000,none,
Cambodia,0,none,
Djibouti,0,none,
Guinea Bissau,0,none,
Haiti,0,none,
Mali,0,none,
Sao Tome and Principe,0,none,
Sierra Leone,0,none,
Syria,0,none,
Timor-Leste,0,none,
Togo,0,none,
Austria,-1,beverage and jurisdiction,"Both on- and off-premise: 18 for spirits and mixed drinks containing spirits; 16 for beer, wine, champagne 

Burgenland, Lower Austria, Upper Austria, Styria, Salzburg, Tyrol, Vorarlberg and Vienna specifically prohibit serving alcoholic beverages to those under 16 years of age"
Switzerland,-1,beverage and jurisdiction,"18 for spirits 

16 or 18 for beer and wine depending on the Canton"
Belgium,-1,beverage,"Both on- and off-premise: 18 for spirits, 16 for other alcohol beverages"
Germany,-1,beverage,"16 for beer and wine, 18 for spirits 

Those below 18 years of age are not permitted in premises licensed as bars, nightclubs and similar entertainment venues."
Liechtenstein,-1,beverage,18 for spirits and alcopops; 16 for other alcoholic beverages
Norway,-1,beverage,"Both on- and off-premise sales: 

18 for beverages of 0.7-22% ABV 

20 for beverages of 22% ABV and above"
Zambia,-1,beverage,"on-premise: 18 for beverages of 3%ABV or higher except traditional beer; 16 for traditional beer 

on-premise: 14 for beverages of 3%ABV or higher except traditional beer; 16 for traditional beer"
India,-1,jurisdiction,"18 in Goa, Himachal Pradesh, Karnataka, Sikkim, and Puducherry 

21 in Andhra Pradesh, Arunachal Pradesh, Assam, Chhattisgarh, Jammu and Kashmir, Jharkhand, Kerala, Madhya Pradesh, Maharashtra, Mizoram, Orissa (Odisha), Rajasthan, Tamil Nadu, Telangana, Tripura, Uttarakhand, Uttar Pradesh, and West Bengal 

25 in Haryana, Meghalaya, Punjab, Delhi 

[illegal] in Bihar, Gujarat, Manipur, Nagaland, Lakshadweep"
Indonesia,-1,jurisdiction,"illegal in Banda Aceh and Papua, 21 elsewhere for both on- and off-premise"
Nigeria,-1,jurisdiction,
Canada,-1,province ,"18 in Manitoba, Alberta, and Quebec; 19 in British Columbia, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Saskatchewan, and Yukon."
United Arab Emirates,-1,religion and jurisdiction,
Bangladesh,-1,religion,Alcohol may not be purchased by Muslims.
Comoros,-1,religion,illegal for Muslims
Malaysia,-1,religion,illegal for Muslims; 18 otherwise for on- and off-premise
Morocco,-1,religion,illegal for Muslims
Guyana,18,none,except 16 for wine or malt liquor to be consumed with a meal
Uganda,18,none,"*16 for beer, wine, perry, porter, cider, or native liquor with a meal in a meal-service section of the premises"
United Kingdom,18,none,"*16 for beer, cider, and wine with a meal and bought by and accompanied by an adult. This does not apply in Northern Ireland."
Cameroon,18,none,*unless accompanied by person aged 21 or above in a supervisory role
New Zealand,18,none,does not apply if accompanied bypermitting parent or legal guardian
Spain,18,none,*Baleares Islands autonomous region does not have specific regulation limiting the sale of alcoholic beverages to minors.
"Korea, Republic of",19,none,"Being 19 is defined, for the purposes of this legislation, as effective from January 1st of the 19th year after one's birth"
Samoa,21,none,*unless at a food and beverage establishment and accompanied by parent
United States,21,none,"See the NIAAA Alcohol Policy Information System (APIS) for more details 

* 18 for on-premise and off-premise sales in Puerto Rico (Law 118, 18 October 1984)"
